项目编号,项目名称,项目类型,城市,成本类型,预算金额,实际成本,建筑面积,预算单价,实际单价,超支金额,超支比例
PRJ-2026-0001,上海医院一期,医院,上海,材料费用,53500000.0,57775987.12,16000,3343.75,3611.0,4275987.12,7.99
PRJ-2026-0002,上海医院东区,医院,上海,设计费用,2346000.0,2353965.77,13600,172.5,173.09,7965.77,0.34
PRJ-2026-0003,上海医院南区,医院,上海,人工费用,19208000.0,22368677.82,19600,980.0,1141.26,3160677.82,16.46
PRJ-2026-0004,杭州隧道西区,隧道,杭州,设备费用,4790016.0,5177295.8,5400,887.04,958.76,387279.8,8.09
PRJ-2026-0005,杭州隧道B区,隧道,杭州,运输费用,910224.0,988165.7,5040,180.6,196.06,77941.7,8.56
PRJ-2026-0006,杭州隧道二期,隧道,杭州,施工费用,14859936.0,13653386.54,8100,1834.56,1685.6,-1206549.46,-8.12
PRJ-2026-0007,广州住宅楼A区,住宅楼,广州,设计费用,1764180.0,1830880.67,12150,145.2,150.69,66700.67,3.78
PRJ-2026-0008,广州住宅楼三期,住宅楼,广州,人工费用,16790400.0,16295831.69,18000,932.8,905.32,-494568.31,-2.95
PRJ-2026-0009,广州住宅楼A区,住宅楼,广州,施工费用,21640608.0,27011720.8,16200,1335.84,1667.39,5371112.8,24.82
PRJ-2026-0010,成都医院西区,医院,成都,材料费用,26649000.0,25758770.59,12600,2115.0,2044.35,-890229.41,-3.34
PRJ-2026-0011,成都医院B区,医院,成都,运输费用,4703760.0,4851332.49,27799,169.2,174.51,147572.49,3.14
PRJ-2026-0012,成都医院南区,医院,成都,施工费用,16871760.0,17969026.77,14600,1155.6,1230.76,1097266.77,6.5
PRJ-2026-0013,重庆仓库三期,仓库,重庆,施工费用,27234000.0,32457074.4,30000,907.8,1081.9,5223074.4,19.18
PRJ-2026-0014,重庆仓库北区,仓库,重庆,消防费用,3928428.0,4023903.36,26200,149.94,153.58,95475.36,2.43
PRJ-2026-0015,重庆仓库东区,仓库,重庆,人工费用,16744320.0,14253620.38,21600,775.2,659.89,-2490699.62,-14.87
PRJ-2026-0016,杭州酒店B区,酒店,杭州,消防费用,3334300.2,2705510.94,17820,187.11,151.82,-628789.26,-18.86
PRJ-2026-0017,杭州酒店东区,酒店,杭州,人工费用,24004512.0,21218181.9,26460,907.2,801.9,-2786330.1,-11.61
PRJ-2026-0018,杭州酒店东区,酒店,杭州,设备费用,11736900.0,9271529.86,20700,567.0,447.9,-2465370.14,-21.01
PRJ-2026-0019,北京仓库西区,仓库,北京,消防费用,3144960.0,3037026.92,14000,224.64,216.93,-107933.08,-3.43
PRJ-2026-0020,北京仓库东区,仓库,北京,管理费用,9952800.0,11204394.08,29000,343.2,386.36,1251594.08,12.58
PRJ-2026-0021,北京仓库南区,仓库,北京,材料费用,74626500.0,80951650.99,25800,2892.5,3137.66,6325150.99,8.48
PRJ-2026-0022,南京桥梁二期,桥梁,南京,运输费用,2371200.0,3323898.75,12000,197.6,276.99,952698.75,40.18
PRJ-2026-0023,南京桥梁一期,桥梁,南京,设计费用,813276.0,891747.4,6560,123.97,135.94,78471.4,9.65
PRJ-2026-0024,南京桥梁A区,桥梁,南京,安全费用,1158312.96,1023088.04,6480,178.75,157.88,-135224.92,-11.67
PRJ-2026-0025,西安道路二期,道路,西安,运输费用,3384115.2,4000512.99,17280,195.84,231.51,616397.79,18.21
PRJ-2026-0026,西安道路一期,道路,西安,设备费用,6580224.0,7095973.93,14280,460.8,496.92,515749.93,7.84
PRJ-2026-0027,西安道路A区,道路,西安,消防费用,2404512.0,2287132.55,14520,165.6,157.52,-117379.45,-4.88
PRJ-2026-0028,广州桥梁北区,桥梁,广州,安全费用,1347413.76,1929531.16,7840,171.86,246.11,582117.4,43.2
PRJ-2026-0029,广州桥梁二期,桥梁,广州,管理费用,3897432.0,4278587.66,10640,366.3,402.12,381155.66,9.78
PRJ-2026-0030,广州桥梁A区,桥梁,广州,人工费用,11073920.0,12117889.94,11440,968.0,1059.26,1043969.94,9.43
